key,value,formatted,unit,source,note,module
"quasi_festival_rows_excluded","39","39 permit-months","count","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Rows carrying festival_spike_flag, dropped before every estimate in this module. Festival concession LLCs permitted at a venue address, almost certainly Austin City Limits bar receipts. This is a wider exclusion than 30_venues.do, which drops the 10 rows carrying extreme_outlier_flag; the wider rule is used because a regression is more sensitive to a mislabelled outlier than an annual sum is.","quasi"
"quasi_panel_venue_months","16192","16192 venue-months","count","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Venue-months available to this module after collapsing 16346 permit-months onto 114 venues and dropping festival-flagged rows. Real-dollar series end 2025-12 because out/cpi_annual.dta carries no 2026 deflator.","quasi"
"quasi_svog_awards_total","152","152 awards","count","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Shuttered Venue Operators Grant awards in the Austin area. Recipients include cinemas, talent agencies, festivals, symphonies and theatres as well as bars holding a music permit, so most of them can never appear in a mixed-beverage receipts panel.","quasi"
"quasi_svog_matched_venues","29","29 of 152","count","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","SVOG awards matched to one of the 114 venues in the curated receipts panel. Matched on normalised street address first, then the normalised legal name against the Comptroller taxpayer name, then against the Comptroller trading name, then five hand-verified overrides. Every match was read against the venue roster by hand. The full crosswalk, including the 123 unmatched awards, is at out/tables/svog_venue_crosswalk.csv.","quasi"
"quasi_svog_used_venues","26","26 venues","count","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Matched venues carried into the event study. Three matches are flagged uncertain and held out of the sample entirely: the Paramount, where one award covers two separately permitted rooms; the Long Center, where the grantee is the nonprofit and the permit holder is the concessionaire; and The Parish, where the award address is the former room and the legal name is the current one.","quasi"
"quasi_svog_dollars_matched","24155577","\textdollar{}24,155,577","nominal dollars","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Federal relief flowing to the 26 panel venues used in the event study, as awarded. Award dollars are nominal and are not deflated; they are used only to scale treatment intensity against pre-pandemic revenue at the same venue.","quasi"
"quasi_svog_median_award","651820.9375","\textdollar{}651,821","nominal dollars","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Median award among the 26 panel venues used in the event study.","quasi"
"quasi_svog_award_window","2021-06 to 2021-08","2021-06 to 2021-08","award months","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Range of award months among the venues used. The awards are barely staggered: they all land inside a three-month window in 2021, so this is close to a single-cohort design and the relative-time axis is nearly a relabelling of calendar time.","quasi"
"quasi_svog_post_coef",".0129140868024152","0.013","log points","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","reghdfe lnreal post_x_svog, absorb(venue month) vce(cluster venue). Sample: 26 matched SVOG venues against 65 other panel venues, 2017-01 to 2025-12, large ticketed rooms excluded, 6822 venue-months in 91 clusters. Reads as the average gap in log real receipts from the award month onward, after venue and calendar-month effects. Clustered SE 0.113, p 0.9089. Conditional association only: SVOG eligibility required a documented revenue drop, so recipients are selected on the severity of their own shock.","quasi"
"quasi_svog_post_se",".1125719983048816","0.113","log points, clustered SE","01_evidence/07_svog_federal_relief/svog_awards_AUSTIN_AREA.csv","Standard error on quasi_svog_post_coef, clustered by venue, 91 clusters.","quasi"
