venue_name,address,district,opened_year,closed_year,status,reason_cited,reason_category,capacity,source_url,source_outlet,source_date,notes
Cactus Cafe,"Texas Union, University of Texas at Austin",UT / West Campus,1979,,still_open,UT announced closure in 2010 citing budget concerns and limited student use; venue saved via partnership with KUT public radio,financial,150,https://www.austinchronicle.com/music/2021-05-07/faster-than-sound-kut-kutx-in-discussion-with-ut-over-the-future-of-the-cactus-cafe/,Austin Chronicle,2021-05-07,"Threatened-closure case, not an actual closure. Detail assembled from WebSearch summaries of Chronicle, Texas Observer and Alcalde coverage; Chronicle URL not directly fetched."
"Emo's (original, Red River)",Sixth & Red River,Red River Cultural District,1992,2011,closed_relocated,Red River property sold; club closed December 2011 after operations shifted to new East Riverside room,sale_of_property,,https://www.austinchronicle.com/daily/music/2011-09-26/emos-red-river-location-sold/,Austin Chronicle,2011-09-26,Chronicle reported the two Sixth & Red River rooms were sold Sept 2011. Opening year 1992 via Wikipedia/Corcoran summaries; not directly fetched.
Emo's East,2015 E. Riverside Dr.,East Riverside,2011,,opened,"New larger room opened on former Back Room site; debuted Sept 11, 2011 with Butthole Surfers; sold to C3 Presents Feb 2013",,,https://en.wikipedia.org/wiki/Emo%27s,Wikipedia,,Retrieved via WebSearch summary 2026-08-01; Wikipedia page not directly fetched.
Ethics Music Lounge,422 Congress Ave.,Downtown,2013,2018,closed,"World Class Capital Group (Nate Paul) bought the property and locked the bar's doors for delinquent payment immediately after purchase, per owner Vincent Salvaggio",sale_of_property,,https://www.austinchronicle.com/music/2018-08-03/eviction-notice/,Austin Chronicle,2018-08-03,Rooftop house-music venue. Closed July 2018. Via WebSearch summary of Chronicle 'Playback: Eviction Notice'; not directly fetched.
Kingdom,,Downtown,,2018,closed,Purchased and promptly shuttered by World Class Capital Group (Nate Paul),sale_of_property,,https://austinchronicle.com/music/2019-08-23/faster-than-sound-empire-control-room-owners-purchase-longtime-location,Austin Chronicle,2019-08-23,Dance club closed July 2018 alongside Ethics Music Lounge. Via WebSearch summary; not directly fetched.
Antone's Nightclub (E. Riverside),E. Riverside Dr.,East Riverside,2013,2013,closed_relocated,Riverside location closed in late 2013 so owners could seek a new downtown location,,,https://antonesnightclub.com/history/,Antone's Nightclub,,"Antone's has occupied at least six addresses since 1975 (Sixth St., Anderson Ln., Guadalupe St., W. Fifth St., E. Riverside, E. Fifth). Via WebSearch summary; page not directly fetched."
Vulcan Gas Company,418 E. Sixth St.,Downtown/6th,2014,,opened,New venue opened under a revived historic name; unrelated to the 1967-1970 original at 316 Congress,,658 standing / 350 seated,https://www.vulcanatx.com/,Vulcan Gas Company,,"Capacity and 9,500 sq ft figure via WebSearch summary of venue listings; site not directly fetched."
Holy Mountain,617 E. Seventh St.,East Sixth/Seventh,2012,2015,closed,"Landlord sought rent increase from $5,500 to $8,000/month plus triple-net charges; partner James Taylor called it 'completely unsustainable'",rent_increase,,https://www.austinchronicle.com/music/2015-05-15/playback-holy-mountain-and-red-7-in-danger-of-losing-leases/,Austin Chronicle,2015-05-14,"Lease expired Oct 1, 2015; last show Sept 27, 2015 per KUT. Rent figures directly fetched from Chronicle."
Red 7,611 E. Seventh St.,East Sixth/Seventh,2006,2015,closed,"Landlord sought rent increase from $9,000 to $14,000/month plus triple-net charges; GM also cited difficulty insuring an all-ages venue serving alcohol",rent_increase,,https://www.austinchronicle.com/music/2015-05-15/playback-holy-mountain-and-red-7-in-danger-of-losing-leases/,Austin Chronicle,2015-05-14,Closed end of August/September 2015. Partners went on to open The Sidewinder.
Red Eyed Fly,715 Red River St.,Red River Cultural District,,2015,closed,Closed end of August 2015; space taken over by The Sidewinder,unknown,,https://austin.culturemap.com/news/entertainment/08-05-15-sidewinder-new-venue-red-river-cutlural-district/,CultureMap Austin,2015-08-05,Reason for Red Eyed Fly's own closure not stated in the source.
The Sidewinder,715 Red River St.,Red River Cultural District,2015,2018,closed,"Austin Fire Marshal cut back-patio capacity from 239 to 49 after reinterpreting exits/entrances, costing the club major SXSW income; erosion damage to the outdoor stage also cited",permit_regulatory,"239 (back patio, cut to 49)",https://www.austinchronicle.com/daily/music/2018-05-18/sidewinder-closes/,Austin Chronicle,2018-05-18,"Opened late 2015 in the former Red Eyed Fly space with Red 7 partners; closed May 12, 2018. Owner John Wickham."
