key,value,formatted,unit,source,note,module
"city_fy_calendar_approx","9","FY_Y matched to calendar year Y (9 of 12 months overlap)","months of 12 overlapping","methodological note, not a data source","Fiscal year FY_Y approximated by calendar year Y for CPI deflation (Austin FY_Y runs Oct(Y-1)-Sep(Y); 9 of 12 months fall in calendar Y). No quarterly deflator is available; this is the module-wide convention.","city"
"city_lmf_revenue_fy25","4773754","$4.8M","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund actual revenue, FY2025. Same-year figure; ratios built from it need no deflation.","city"
"city_hp_revenue_fy25","21105159","$21.1M","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Historic Preservation Fund actual revenue, FY2025.","city"
"city_caf_revenue_fy25","16391168","$16.4M","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Cultural Arts Fund actual revenue, FY2025.","city"
"city_hot_total_revenue_fy25","164619667","$164.6M","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Total Hotel Occupancy Tax Fund actual revenue, FY2025. Denominator for city_lmf_share_of_hot_fy25.","city"
"city_hot_rest_fy25","122349586","$122.3M","nominal dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Total HOT revenue minus Live Music, Historic Preservation and Cultural Arts fund revenue, FY2025. Mainly Convention Center expansion under the 2019 ordinance’s residual clause; not itself a single named fund.","city"
"city_lmf_share_of_hot_fy25","2.899868580101064","2.90%","percent of total HOT revenue","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund revenue as a share of total Hotel Occupancy Tax Fund revenue, FY2025. Same-year nominal ratio; deflation cancels and was not applied.","city"
"city_hp_to_lmf_ratio_fy25","4.421082234233268","4.42x","ratio","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Historic Preservation Fund revenue divided by Live Music Fund revenue, FY2025. Same-year nominal ratio; deflation cancels.","city"
"city_lmf_revenue_pctchg_fy24_fy25_nominal","-.8884169046484591","-0.89%","percent change, nominal","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund revenue, FY2024 to FY2025, nominal dollars. Fiscal year FY_Y approximated by calendar year Y for CPI deflation (Austin FY_Y runs Oct(Y-1)-Sep(Y); 9 of 12 months fall in calendar Y). No quarterly deflator is available; this is the module-wide convention.","city"
"city_lmf_revenue_pctchg_fy24_fy25_real","-3.492399711936278","-3.49%","percent change, 2025 dollars","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund revenue, FY2024 to FY2025, 2025 dollars via out/cpi_annual.dta. FY2025 is the CPI base year so its real and nominal values are identical; the gap between this figure and city_lmf_revenue_pctchg_fy24_fy25_nominal is entirely FY2024’s deflation. Fiscal year FY_Y approximated by calendar year Y for CPI deflation (Austin FY_Y runs Oct(Y-1)-Sep(Y); 9 of 12 months fall in calendar Y). No quarterly deflator is available; this is the module-wide convention.","city"
"city_lmf_share_of_hot_fy2021","2.07748752397455","2.08%","percent of total HOT revenue","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund revenue as a share of total HOT revenue, FY2021. Same-year nominal ratio.","city"
"city_lmf_share_of_hot_fy2026","2.628759893128954","2.63%","percent of total HOT revenue","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund revenue as a share of total HOT revenue, FY2026. Same-year nominal ratio. FY2026 revenue is a partial-year actual.","city"
"city_lmf_revenue_fy2026_budget","5051453","$5.1M","nominal dollars, budget","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Live Music Fund FY2027 budgeted revenue (row labeled fiscal_year 2027 in the source; FY2027 has not started, budget only, no actual).","city"
"city_lmf_accum_by_fy22_nominal","5130497","$5.1M","nominal dollars, cumulative FY2021-FY2022","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Cumulative Live Music Fund revenue minus expenditure, FY2021 through FY2022, nominal. The fund collected for two full years (spending just $4,284 and $50,000 respectively against $1.49M and $3.70M in revenue) before its first real grant cycle disbursed in FY2023. This is a cumulative revenue-minus-expenditure PROXY built from Open Budget actuals starting FY2021, not an audited fund balance, and it excludes any opening balance the fund may have carried from its 2019-09-30 creation. Press reporting placed the Live Music Fund balance at approximately $3.2 million in September 2025 (within FY2025); this proxy does not reconcile with that figure, and the gap is unresolved pending the ACFR fund-balance schedule (see 01_evidence/04_city_programs_lmf/_sources.md, open item 3). Prefer the annual revenue-against-expenditure series over this cumulative figure when a single number is needed.","city"
"city_lmf_cumulative_net_nominal_fy25","4724054","$4.7M","nominal dollars, cumulative FY2021-FY2025","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","This is a cumulative revenue-minus-expenditure PROXY built from Open Budget actuals starting FY2021, not an audited fund balance, and it excludes any opening balance the fund may have carried from its 2019-09-30 creation. Press reporting placed the Live Music Fund balance at approximately $3.2 million in September 2025 (within FY2025); this proxy does not reconcile with that figure, and the gap is unresolved pending the ACFR fund-balance schedule (see 01_evidence/04_city_programs_lmf/_sources.md, open item 3). Prefer the annual revenue-against-expenditure series over this cumulative figure when a single number is needed.","city"
"city_lmf_cumulative_net_nominal_fy26","3380952","$3.4M","nominal dollars, cumulative FY2021-FY2026","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Headline cumulative figure through the latest fiscal year with any actual spending recorded (FY2026 is a partial-year actual). This is a cumulative revenue-minus-expenditure PROXY built from Open Budget actuals starting FY2021, not an audited fund balance, and it excludes any opening balance the fund may have carried from its 2019-09-30 creation. Press reporting placed the Live Music Fund balance at approximately $3.2 million in September 2025 (within FY2025); this proxy does not reconcile with that figure, and the gap is unresolved pending the ACFR fund-balance schedule (see 01_evidence/04_city_programs_lmf/_sources.md, open item 3). Prefer the annual revenue-against-expenditure series over this cumulative figure when a single number is needed.","city"
"city_lmf_cumulative_net_real_fy25","5395678.643091908","$5.4M","2025 dollars, cumulative FY2021-FY2025","01_evidence/04_city_programs_lmf/derived_HOT_fund_revenue_expense_FY2021_FY2027.csv","Same cumulative proxy as city_lmf_cumulative_net_nominal_fy25, rebuilt entirely in 2025 dollars (each year’s revenue and expenditure deflated before summing). Plotted on fig13’s right axis. Differs from the nominal figure only by each year’s CPI factor; both are cash-flow proxies, not audited balances. Fiscal year FY_Y approximated by calendar year Y for CPI deflation (Austin FY_Y runs Oct(Y-1)-Sep(Y); 9 of 12 months fall in calendar Y). No quarterly deflator is available; this is the module-wide convention.","city"
"city_lmf_admin_grants_cumulative","17598450","$17.6M","nominal dollars, cumulative FY2021-FY2027","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Object-level actuals FY2021-FY2027 from the City of Austin Open Budget expense extract, fund_nm = Live Music Fund, summed across fiscal years. Cross-checked against the evidence memo’s cumulative figures (grants $17,598,450; consultant $2,338,304; advertising $267,993) and matches to the dollar. No Consultant-others row appears before FY2023: the fund had no third-party administrator cost until it began disbursing real grants, an innocent function of program timing rather than any change in oversight.","city"
"city_lmf_admin_consultant_cumulative","2338304","$2.3M","nominal dollars, cumulative FY2021-FY2027","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Consultant-others object, the fund’s third-party administrator (the Long Center for the Performing Arts from 2023 onward). Object-level actuals FY2021-FY2027 from the City of Austin Open Budget expense extract, fund_nm = Live Music Fund, summed across fiscal years. Cross-checked against the evidence memo’s cumulative figures (grants $17,598,450; consultant $2,338,304; advertising $267,993) and matches to the dollar. No Consultant-others row appears before FY2023: the fund had no third-party administrator cost until it began disbursing real grants, an innocent function of program timing rather than any change in oversight.","city"
"city_lmf_admin_advertising_cumulative","267993.34","$267,993","nominal dollars, cumulative FY2021-FY2027","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Object-level actuals FY2021-FY2027 from the City of Austin Open Budget expense extract, fund_nm = Live Music Fund, summed across fiscal years. Cross-checked against the evidence memo’s cumulative figures (grants $17,598,450; consultant $2,338,304; advertising $267,993) and matches to the dollar. No Consultant-others row appears before FY2023: the fund had no third-party administrator cost until it began disbursing real grants, an innocent function of program timing rather than any change in oversight.","city"
"city_lmf_admin_share_grants","87.10056950407775","87.10%","percent of grants+consultant+advertising","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Share of the three tracked expense objects that is grants to subrecipients, cumulative FY2021-FY2027. Denominator is city_lmf_admin_grants_cumulative + city_lmf_admin_consultant_cumulative + city_lmf_admin_advertising_cumulative; excludes any Personnel or other object categories, of which none were found for this fund.","city"
"city_lmf_admin_share_consultant","11.57304251645247","11.57%","percent of grants+consultant+advertising","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Object-level actuals FY2021-FY2027 from the City of Austin Open Budget expense extract, fund_nm = Live Music Fund, summed across fiscal years. Cross-checked against the evidence memo’s cumulative figures (grants $17,598,450; consultant $2,338,304; advertising $267,993) and matches to the dollar. No Consultant-others row appears before FY2023: the fund had no third-party administrator cost until it began disbursing real grants, an innocent function of program timing rather than any change in oversight.","city"
"city_lmf_admin_share_advertising","1.326387979469779","1.33%","percent of grants+consultant+advertising","01_evidence/04_city_programs_lmf/socrata/yeeq-kk6v_expense_open_budget.csv","Object-level actuals FY2021-FY2027 from the City of Austin Open Budget expense extract, fund_nm = Live Music Fund, summed across fiscal years. Cross-checked against the evidence memo’s cumulative figures (grants $17,598,450; consultant $2,338,304; advertising $267,993) and matches to the dollar. No Consultant-others row appears before FY2023: the fund had no third-party administrator cost until it began disbursing real grants, an innocent function of program timing rather than any change in oversight.","city"
"city_lmf_fy23_awards_list","369","369","count","01_evidence/04_city_programs_lmf/LMF_FY23_awardee_list.pdf","Line-item tally of the FY2023 Live Music Fund Event Program awardee list (40 x $5,000 + 329 x $10,000). Appears to contain one duplicated name (Alejandro Castillo prints twice). Paired with city_lmf_fy23_total and city_lmf_fy23_avg, and plotted in fig14. See city_lmf_fy23_awards_press for the alternative count.","city"
"city_lmf_fy23_awards_press","368","368","count","01_evidence/04_city_programs_lmf/_findings.md","Press-reported FY2023 award count (Austin Chronicle), paired with the 660-applicant figure used in city_lmf_fy23_funded_share. One less than the 369-row tally of the primary award-list PDF; the two do not reconcile and both are reported per the project’s mandatory accuracy constraints.","city"
"city_lmf_fy23_total","3490000","$3.5M","nominal dollars","01_evidence/04_city_programs_lmf/derived_LMF_cohort_summary.csv","FY2023 Live Music Fund Event Program, total awarded (40 x $5,000 + 329 x $10,000).","city"
"city_lmf_fy23_avg","9457.9945799458","$9,458","nominal dollars per award","01_evidence/04_city_programs_lmf/derived_LMF_cohort_summary.csv","city_lmf_fy23_total divided by city_lmf_fy23_awards_list (369). Two tiers only: $5,000 and $10,000.","city"
