key,value,formatted,unit,source,note,module
"venue_panel_is_curated","114","114 venues","count","01_evidence/08_venues_ecosystem/venue_match_list.csv","Curated tracking panel of named Austin live-music rooms, 145 permit entities, not a census. The mixed-beverage file structurally omits beer-and-wine-only rooms (Carousel Lounge, Meanwhile Brewing, Whip In), venues without a separable alcohol permit (Cactus Cafe, Bass Concert Hall, Central Presbyterian) and venues folded into a hotel permit (Geraldine's). The panel over-represents Red River, East Austin and South Congress.","venues"
"venue_festival_rows_excluded","10","10 venue-months","count","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Rows with extreme_outlier_flag = 1 (month exceeds 20x the venue's own median and $500k). Festival concession LLCs permitted at a venue address, almost certainly Austin City Limits bar receipts. Excluded from every receipts figure in this module.","venues"
"venue_festival_dollars_excluded","43290954","$43,290,954","nominal dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Sum of the 10 excluded festival-aggregation venue-months, nominal. Largest single month $12,540,139 at Historic Scoot Inn, Oct 2025, against a Scoot Inn median month of $38,434.","venues"
"venue_panel_real_2019","105217700.726192","$105.2M","millions of 2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Full 114-venue curated panel, calendar 2019. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_panel_real_2025","97845694","$97.8M","millions of 2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Full 114-venue curated panel, calendar 2025. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_panel_pct_2019_2025","-7.006432069235357","-7.0%","percent change, real","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Full 114-venue curated panel, real receipts 2019 to 2025. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_core_real_2019","52779702.9703962","$52.8M","millions of 2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Core live-music tier (78 venues classified as primarily live music), calendar 2019. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_core_real_2025","42954041","$43.0M","millions of 2025 dollars","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Core live-music tier, calendar 2025. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_core_pct_2019_2025","-18.61636465803408","-18.6%","percent change, real","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Core live-music tier, real receipts 2019 to 2025. Nominal mixed-beverage receipts deflated with CPI-U annual averages to 2025 dollars via out/cpi_annual.dta; the 2025 average uses an interpolated October 2025 (cpi_imputed = 1) because BLS did not publish that month. Ten festival concession venue-months are excluded from every venue-level series; they stay in the citywide market total, where the money is real Austin licensed-beverage activity and only its venue label is wrong.","venues"
"venue_balanced_n","63","63 venues","count","01_evidence/08_venues_ecosystem/venue_monthly_receipts_long.csv","Venues with positive receipts in both 2019 and 2025; denominator for the balanced-panel change. Of these, 37 are core live-music rooms.","venues"
